iter	Passed	Remaining
0	148	207604
1	151	106036
2	154	72060
3	158	55358
4	161	45176
5	164	38316
6	167	33412
7	171	29862
8	175	27064
9	178	24814
10	182	22991
11	185	21402
12	188	20100
13	193	19154
14	196	18164
15	200	17301
16	203	16566
17	206	15861
18	208	15181
19	211	14610
20	215	14133
21	218	13662
22	221	13237
23	223	12839
24	226	12479
25	229	12140
26	232	11828
27	236	11568
28	239	11315
29	242	11063
30	245	10829
31	248	10633
32	252	10449
33	255	10255
34	258	10078
35	261	9914
36	264	9750
37	267	9589
38	271	9478
39	274	9343
40	277	9205
41	282	9118
42	285	8996
43	287	8873
44	290	8756
45	294	8671
46	297	8565
47	300	8462
48	303	8376
49	306	8286
50	309	8193
51	312	8104
52	316	8032
53	319	7952
54	321	7872
55	326	7825
56	328	7749
57	331	7678
58	334	7607
59	338	7555
60	341	7495
61	344	7430
62	347	7383
63	350	7324
64	353	7265
65	356	7211
66	360	7175
67	363	7126
68	366	7075
69	371	7066
70	375	7028
71	378	6979
72	382	6951
73	385	6904
74	388	6859
75	391	6818
76	394	6782
77	397	6739
78	400	6698
79	404	6674
80	407	6638
81	410	6599
82	413	6562
83	416	6531
84	419	6493
85	422	6449
86	425	6422
87	428	6389
88	431	6356
89	434	6324
90	437	6298
91	440	6267
92	444	6242
93	447	6213
94	450	6185
95	453	6160
96	456	6131
97	460	6122
98	464	6098
99	467	6072
100	469	6043
101	472	6018
102	475	5993
103	478	5965
104	481	5943
105	485	5921
106	487	5896
107	490	5871
108	494	5853
109	497	5829
110	500	5806
111	503	5790
112	506	5771
